Temperature,Humidity,Pressure,WindSpeed,CloudCover,Weather
20.8,97,1000,14.1,61,Cloudy
36.5,56,995,9.9,24,Sunny
18.2,53,995,10.9,39,Sunny
39.5,89,1018,3.8,76,Rainy
34.9,93,995,6.4,99,Rainy
16.2,49,1017,4.1,26,Sunny
33.8,52,1025,6.4,8,Sunny
18.1,48,1006,7.2,28,Sunny
29.6,50,1021,14.0,32,Sunny
35.8,54,996,4.4,63,Cloudy
39.2,53,1016,10.6,78,Cloudy
37.6,86,1023,10.7,91,Rainy
24.9,77,1008,7.8,14,Sunny
18.4,65,1012,13.4,42,Cloudy
36.9,69,1001,11.7,98,Cloudy
31.0,70,1005,3.5,44,Cloudy
27.9,86,1025,17.2,91,Rainy
24.2,79,1018,8.3,10,Sunny
25.9,97,1009,13.6,88,Rainy
20.1,59,1016,7.4,75,Cloudy
32.9,76,1011,5.2,89,Cloudy
39.4,99,1021,17.8,39,Sunny
17.4,59,1014,13.6,80,Cloudy
33.8,48,996,6.8,6,Sunny
35.6,85,1007,6.5,2,Sunny
26.5,94,995,5.3,26,Sunny
36.7,71,995,17.8,83,Cloudy
26.3,68,997,17.8,96,Cloudy
29.6,49,1004,9.8,0,Sunny
27.8,47,1024,1.9,30,Sunny
25.3,63,1025,13.1,71,Cloudy
38.3,80,1005,15.8,5,Sunny
22.0,93,1025,13.4,40,Sunny
34.3,100,1015,12.9,94,Rainy
25.4,83,1004,14.7,60,Cloudy
29.4,73,1024,12.2,27,Sunny
29.7,49,1004,5.7,76,Cloudy
27.3,74,1003,2.0,58,Cloudy
28.6,58,1001,1.3,73,Cloudy
20.4,85,1013,8.1,2,Sunny
27.6,87,997,17.5,10,Sunny
21.0,83,1003,8.7,35,Sunny
22.2,88,1013,15.4,46,Cloudy
22.3,46,1002,3.8,46,Cloudy
37.8,46,1021,9.4,24,Sunny
26.2,43,1025,15.2,61,Cloudy
22.5,49,1016,0.7,74,Cloudy
18.5,94,1007,6.8,41,Cloudy
16.5,58,1018,2.7,74,Cloudy
21.1,69,1000,1.7,23,Sunny
39.3,98,998,12.5,27,Sunny
19.8,53,1005,5.0,85,Cloudy
32.9,42,1018,5.9,13,Sunny
35.3,87,1002,4.1,61,Cloudy
34.5,56,1022,7.5,34,Sunny
15.6,92,996,6.4,61,Cloudy
17.0,96,1012,4.3,7,Sunny
26.0,61,1023,9.9,64,Cloudy
28.1,65,1019,1.1,42,Cloudy
19.8,77,997,16.4,12,Sunny
33.6,69,1011,13.1,39,Sunny
29.2,69,1007,14.9,65,Cloudy
15.4,79,1013,10.7,5,Sunny
38.1,41,1025,13.3,74,Cloudy
35.3,55,1009,13.8,40,Sunny
30.5,67,1022,14.4,69,Cloudy
27.0,92,1001,16.3,90,Rainy
26.9,44,1019,3.5,35,Sunny
38.7,89,996,1.3,56,Cloudy
39.0,54,1008,9.4,69,Cloudy
25.5,63,1012,16.4,21,Sunny
32.1,54,995,17.8,59,Cloudy
22.2,93,1023,10.7,40,Sunny
35.0,56,1024,13.9,35,Sunny
39.9,72,1007,18.0,21,Sunny
27.6,44,1000,2.5,55,Cloudy
16.0,73,1020,8.0,20,Sunny
38.4,40,1019,5.8,22,Sunny
18.4,59,1002,16.9,7,Sunny
16.4,40,1024,14.0,41,Cloudy
33.6,47,1012,17.5,3,Sunny
38.5,86,1001,14.0,31,Sunny
38.6,86,1005,2.1,4,Sunny
37.0,81,1006,4.4,60,Cloudy
38.2,43,1005,8.6,28,Sunny
33.8,72,1021,2.1,35,Sunny
22.0,93,1021,7.8,98,Rainy
21.8,89,1000,8.5,49,Cloudy
18.2,58,1022,11.8,45,Cloudy
15.1,86,1013,9.1,55,Cloudy
34.5,51,996,7.5,3,Sunny
38.9,66,1002,14.6,57,Cloudy
15.2,97,1005,9.2,18,Sunny
27.0,77,995,9.5,88,Cloudy
23.4,46,997,7.7,37,Sunny
33.0,79,999,5.8,85,Cloudy
17.0,89,1013,8.9,4,Sunny
25.7,69,1025,10.1,86,Cloudy
23.7,75,1004,6.4,7,Sunny
39.1,80,1006,8.8,27,Sunny
31.2,91,1007,17.9,43,Cloudy
22.5,45,1001,9.9,55,Cloudy
38.0,88,1016,5.6,35,Sunny
34.7,58,998,17.6,2,Sunny
20.7,86,1025,7.8,16,Sunny
24.6,77,995,10.8,25,Sunny
36.4,84,1002,8.4,89,Rainy
28.8,46,998,12.8,93,Cloudy
32.7,51,1018,15.3,6,Sunny
34.7,90,1001,2.3,37,Sunny
25.6,53,1021,3.4,29,Sunny
21.4,89,1019,14.3,77,Rainy
21.2,89,1005,8.2,0,Sunny
36.7,49,997,15.4,69,Cloudy
21.1,41,1012,12.2,74,Cloudy
16.7,57,1004,10.1,61,Cloudy
18.8,69,999,5.8,13,Sunny
19.5,53,1002,10.9,65,Cloudy
19.7,65,1022,13.4,51,Cloudy
33.2,65,1014,16.8,95,Cloudy
15.0,84,1011,14.6,29,Sunny
35.2,60,1012,5.9,83,Cloudy
32.6,79,1024,16.4,56,Cloudy
38.7,68,997,11.7,55,Cloudy
15.1,57,1020,10.4,85,Cloudy
16.0,61,1011,1.3,7,Sunny
22.2,97,1006,11.5,46,Cloudy
39.8,44,1024,17.2,17,Sunny
35.7,87,997,13.7,80,Rainy
30.7,51,1025,14.3,66,Cloudy
36.6,46,1021,5.5,4,Sunny
24.5,73,1021,4.3,5,Sunny
26.6,89,1025,17.3,85,Rainy
30.8,53,1017,6.0,38,Sunny
31.0,56,996,12.6,67,Cloudy
24.3,96,1018,12.4,41,Cloudy
20.4,40,1022,15.0,84,Cloudy
17.3,93,1019,17.9,74,Rainy
31.4,65,995,2.0,72,Cloudy
29.9,67,1000,11.3,88,Cloudy
15.5,46,1007,4.4,78,Cloudy
24.0,40,997,11.2,69,Cloudy
15.5,100,1000,2.1,52,Cloudy
18.7,68,996,16.1,68,Cloudy
24.1,86,1007,6.9,83,Rainy
34.0,60,1001,12.7,20,Sunny
24.9,94,1020,10.7,88,Rainy
31.4,78,995,2.4,63,Cloudy
31.9,99,996,13.7,20,Sunny
30.9,88,1009,4.2,60,Cloudy
34.8,100,1009,6.8,27,Sunny
29.3,63,1015,17.8,6,Sunny
25.7,58,1005,13.8,27,Sunny
36.1,78,1023,14.3,82,Cloudy
39.6,90,1009,3.7,15,Sunny
23.9,59,1022,17.0,63,Cloudy
17.0,62,1012,16.3,16,Sunny
26.8,91,1001,13.5,22,Sunny
22.9,98,1014,4.8,57,Cloudy
34.0,93,1008,3.2,6,Sunny
31.5,60,1022,9.4,12,Sunny
20.2,85,1011,8.9,62,Cloudy
33.9,68,1024,15.9,91,Cloudy
35.0,98,1021,14.6,44,Cloudy
36.0,75,1004,10.4,48,Cloudy
33.1,46,1015,15.1,96,Cloudy
28.8,46,1025,11.2,72,Cloudy
20.9,40,1009,8.9,79,Cloudy
27.3,95,995,9.3,59,Cloudy
16.0,67,1004,1.4,11,Sunny
34.0,79,1021,4.6,23,Sunny
19.3,51,1002,6.1,70,Cloudy
31.7,95,1009,13.2,39,Sunny
34.3,88,997,7.7,4,Sunny
15.4,89,1008,9.6,49,Cloudy
27.9,68,1014,12.1,71,Cloudy
30.2,100,996,4.2,81,Rainy
19.2,57,1008,7.8,60,Cloudy
19.8,66,999,6.5,13,Sunny
28.2,82,1023,1.3,45,Cloudy
34.9,98,1021,0.6,16,Sunny
20.8,68,997,13.8,84,Cloudy
18.3,59,1011,3.5,56,Cloudy
33.2,48,1004,13.1,61,Cloudy
18.9,75,1010,7.2,13,Sunny
34.3,60,1010,11.4,39,Sunny
26.4,91,1013,11.8,55,Cloudy
38.3,100,1001,6.8,86,Rainy
24.8,71,1011,3.6,29,Sunny
36.7,46,1024,2.9,67,Cloudy
27.2,92,998,7.0,78,Rainy
39.2,79,1002,11.4,18,Sunny
25.8,82,1012,3.0,52,Cloudy
29.2,91,1004,16.5,4,Sunny
30.8,53,1007,10.0,11,Sunny
40.0,89,1002,8.6,57,Cloudy
18.7,45,1022,6.2,81,Cloudy
31.7,69,1021,1.9,79,Cloudy
21.5,87,1007,2.5,46,Cloudy
23.8,84,998,3.1,8,Sunny
38.0,90,1007,4.7,95,Rainy
26.4,74,1016,10.1,96,Cloudy
37.0,58,1013,10.8,57,Cloudy
30.0,56,1004,12.2,81,Cloudy
20.0,78,1007,13.6,44,Cloudy
26.0,50,1010,2.3,23,Sunny
16.5,94,1000,5.7,38,Sunny
39.0,43,998,7.8,38,Sunny
26.4,70,1021,12.5,64,Cloudy
36.1,77,1005,17.7,3,Sunny
33.3,93,999,7.4,78,Rainy
36.9,97,1015,17.4,70,Cloudy
32.7,90,997,3.1,5,Sunny
16.0,69,1012,11.3,80,Cloudy
31.7,60,1025,7.1,85,Cloudy
15.7,82,1005,11.4,12,Sunny
19.2,89,1000,11.6,69,Cloudy
38.5,94,997,16.1,5,Sunny
25.3,66,1011,13.1,63,Cloudy
36.3,78,1005,11.5,52,Cloudy
16.9,43,1014,6.3,31,Sunny
24.8,73,1019,6.3,90,Cloudy
33.8,74,1025,17.8,36,Sunny
22.6,65,1008,5.8,21,Sunny
21.5,100,1012,12.4,89,Rainy
37.5,90,1003,10.5,80,Rainy
28.5,45,1016,16.0,45,Cloudy
21.0,90,1012,15.0,35,Sunny
29.8,90,1016,4.0,92,Rainy
20.0,93,1014,1.3,8,Sunny
23.4,96,996,9.2,62,Cloudy
26.6,71,1007,7.3,35,Sunny
38.1,100,1000,6.2,61,Cloudy
35.4,59,1009,12.1,91,Cloudy
39.2,51,996,6.4,72,Cloudy
35.7,81,1017,0.9,91,Rainy
23.7,87,1009,1.8,64,Cloudy
29.5,70,1001,12.8,53,Cloudy
21.0,95,1011,14.4,66,Cloudy
36.6,73,1000,1.8,89,Cloudy
33.4,58,998,13.2,89,Cloudy
38.5,70,1019,0.5,19,Sunny
15.5,58,997,4.1,0,Sunny
33.0,47,1014,10.8,23,Sunny
22.5,52,1002,4.7,24,Sunny
19.2,41,1014,7.2,78,Cloudy
34.2,62,1020,16.1,63,Cloudy
34.3,98,996,11.1,91,Rainy
19.3,94,995,16.4,54,Cloudy
21.6,83,1018,5.5,4,Sunny
21.0,57,1009,9.8,32,Sunny
35.4,72,1007,0.6,0,Sunny
38.4,70,1007,17.8,35,Sunny
28.8,56,1014,2.4,22,Sunny
17.5,100,1020,17.9,84,Rainy
23.7,94,1021,9.0,37,Sunny
38.2,58,1022,8.8,79,Cloudy
36.2,82,1008,11.2,47,Cloudy
15.3,72,1005,5.0,80,Cloudy
22.4,69,1014,7.5,76,Cloudy
36.0,100,999,2.5,61,Cloudy
22.7,72,1014,5.8,20,Sunny
22.0,80,1018,13.0,9,Sunny
33.9,66,1025,5.5,92,Cloudy
35.2,44,998,3.6,45,Cloudy
38.5,89,1016,6.3,69,Cloudy
39.5,99,1024,17.7,20,Sunny
17.9,64,1000,7.0,49,Cloudy
20.6,63,1021,7.8,3,Sunny
38.4,53,1001,16.4,8,Sunny
18.6,60,1004,7.7,87,Cloudy
39.0,92,1000,1.2,48,Cloudy
29.6,45,1010,4.4,16,Sunny
22.4,51,1021,10.9,17,Sunny
28.0,49,1025,14.8,61,Cloudy
25.8,76,1015,1.2,86,Cloudy
17.9,94,1015,0.6,94,Rainy
37.0,50,997,13.8,40,Sunny
19.4,44,1003,5.6,38,Sunny
34.8,45,1015,15.9,44,Cloudy
37.2,70,1004,6.2,9,Sunny
17.7,89,1010,10.1,48,Cloudy
18.0,98,1014,7.8,22,Sunny
29.1,98,995,13.4,48,Cloudy
36.3,67,1001,12.1,15,Sunny
39.0,58,1019,17.0,69,Cloudy
35.6,98,1010,17.4,78,Rainy
37.1,93,1000,3.5,88,Rainy
25.0,69,1022,4.4,35,Sunny
16.2,64,1003,13.0,49,Cloudy
31.8,64,1012,10.8,16,Sunny
33.5,73,1004,5.5,80,Cloudy
31.4,69,1011,10.3,32,Sunny
23.9,86,1010,13.1,4,Sunny
38.4,61,996,9.7,88,Cloudy
24.4,64,1015,0.6,43,Cloudy
34.2,67,1010,8.9,18,Sunny
28.9,67,1000,10.0,48,Cloudy
17.3,66,1024,12.2,95,Cloudy
23.8,43,1024,7.6,63,Cloudy
20.3,56,1006,15.8,83,Cloudy
34.6,41,1002,7.1,46,Cloudy
25.8,74,1005,15.2,52,Cloudy
16.9,90,1012,15.5,83,Rainy
33.8,52,1012,10.8,51,Cloudy
29.1,83,1008,7.5,25,Sunny
24.2,55,1005,0.6,40,Sunny
28.8,72,998,2.5,49,Cloudy
18.6,41,1002,6.2,76,Cloudy
21.2,48,1010,3.3,62,Cloudy
35.9,52,1012,12.4,48,Cloudy
15.6,59,1013,15.1,47,Cloudy
18.6,76,1001,7.3,12,Sunny
25.4,85,999,7.0,27,Sunny
16.7,79,1018,0.6,47,Cloudy
17.8,97,1010,7.4,47,Cloudy
23.2,73,1017,15.2,92,Cloudy
34.8,98,1019,8.5,82,Rainy
25.3,67,1008,13.2,99,Cloudy
34.9,100,1006,11.5,2,Sunny
23.3,87,1002,10.2,1,Sunny
16.9,62,1006,9.2,49,Cloudy
36.6,77,1002,3.8,59,Cloudy
17.8,71,1025,2.7,10,Sunny
36.6,87,1025,5.2,36,Sunny
22.6,47,1002,0.9,51,Cloudy
36.7,60,1024,15.4,63,Cloudy
21.7,54,1016,5.1,10,Sunny
38.8,50,1011,17.9,97,Cloudy
33.0,40,1016,14.9,95,Cloudy
26.1,81,1021,10.4,44,Cloudy
39.4,51,1006,2.0,4,Sunny
38.4,40,1016,6.4,5,Sunny
39.8,82,1022,3.4,40,Sunny
33.7,69,1016,3.6,69,Cloudy
17.9,53,996,14.3,13,Sunny
37.1,42,995,1.2,43,Cloudy
26.0,42,1008,16.3,68,Cloudy
28.8,83,1004,17.8,4,Sunny
22.6,52,1011,11.2,38,Sunny
26.1,56,1008,10.3,33,Sunny
32.7,67,1001,7.5,76,Cloudy
21.2,85,1022,12.2,15,Sunny
18.4,85,1016,8.7,29,Sunny
22.1,81,999,4.5,62,Cloudy
32.7,95,1007,16.4,70,Cloudy
39.6,54,996,9.9,77,Cloudy
30.3,64,1025,1.2,7,Sunny
36.6,54,1008,9.8,16,Sunny
23.7,68,1013,7.5,7,Sunny
16.6,89,999,4.0,85,Rainy
27.7,44,1012,8.1,73,Cloudy
22.2,77,1017,15.0,98,Cloudy
18.5,50,998,1.5,5,Sunny
33.8,54,1015,14.2,27,Sunny
21.1,57,1007,7.9,60,Cloudy
38.6,52,1001,12.9,2,Sunny
35.9,49,1018,11.9,97,Cloudy
15.1,91,998,13.3,45,Cloudy
17.0,46,1011,12.0,5,Sunny
18.9,64,1008,7.5,17,Sunny
31.0,80,1014,14.5,16,Sunny
38.1,43,1024,10.5,93,Cloudy
35.6,56,1014,16.5,9,Sunny
29.3,47,1012,2.4,37,Sunny
15.4,95,1012,12.2,70,Cloudy
36.4,92,1010,11.7,88,Rainy
24.1,43,1004,0.9,54,Cloudy
34.5,85,999,10.9,64,Cloudy
21.2,77,1016,15.7,87,Cloudy
24.6,69,995,16.9,47,Cloudy
37.1,62,1024,5.5,51,Cloudy
28.0,62,1020,3.1,52,Cloudy
19.5,93,997,14.0,86,Rainy
24.6,55,996,9.0,50,Cloudy
34.9,88,995,9.4,19,Sunny
18.5,100,1019,5.7,47,Cloudy
38.9,99,1007,6.5,21,Sunny
17.3,95,1019,17.5,29,Sunny
15.2,73,1017,8.5,18,Sunny
32.7,42,1009,2.8,90,Cloudy
20.4,85,1009,6.8,93,Rainy
32.1,69,1019,12.5,35,Sunny
38.4,74,1005,16.0,40,Sunny
36.9,58,1018,4.9,86,Cloudy
22.7,44,1013,11.2,15,Sunny
34.3,90,1008,4.3,35,Sunny
19.7,62,1010,11.8,63,Cloudy
23.2,99,1008,10.1,53,Cloudy
22.1,78,1021,11.6,70,Cloudy
31.4,83,1007,17.7,68,Cloudy
38.2,100,1022,8.3,54,Cloudy
26.7,72,1010,5.4,80,Cloudy
28.8,80,1017,17.7,27,Sunny
37.8,99,1016,4.0,52,Cloudy
23.0,71,1005,2.5,18,Sunny
19.1,75,1005,17.2,23,Sunny
27.7,90,1015,0.6,3,Sunny
39.5,87,1015,16.2,88,Rainy
35.2,94,1009,6.3,98,Rainy
16.4,42,1020,16.9,83,Cloudy
26.0,81,1017,4.9,24,Sunny
34.3,61,1022,13.1,96,Cloudy
38.9,73,1004,9.2,5,Sunny
21.7,98,1009,5.1,89,Rainy
29.5,68,1022,5.8,29,Sunny
20.9,91,1024,4.9,64,Cloudy
37.6,70,1002,17.7,61,Cloudy
25.6,97,1018,14.3,69,Cloudy
16.8,69,997,13.2,79,Cloudy
17.0,73,1010,4.7,67,Cloudy
17.9,56,1002,11.7,4,Sunny
16.6,61,1018,2.7,3,Sunny
26.2,62,1023,16.4,61,Cloudy
25.8,73,1011,12.8,53,Cloudy
16.9,62,1014,15.2,90,Cloudy
33.2,99,1021,3.5,47,Cloudy
29.5,75,997,14.3,97,Cloudy
20.7,100,997,13.9,48,Cloudy
32.8,83,1011,3.1,67,Cloudy
31.7,84,1015,3.4,12,Sunny
31.7,48,1020,6.8,90,Cloudy
23.8,56,998,17.2,44,Cloudy
38.1,100,1020,17.0,92,Rainy
30.1,75,1004,15.1,18,Sunny
29.1,70,996,17.4,1,Sunny
33.0,87,1022,4.9,81,Rainy
23.2,42,1010,7.2,42,Cloudy
34.6,84,1006,5.3,31,Sunny
26.1,67,998,1.9,90,Cloudy
24.1,72,1014,13.4,57,Cloudy
35.4,78,1013,15.0,1,Sunny
21.2,57,1004,2.6,79,Cloudy
39.6,60,1003,14.1,98,Cloudy
33.5,82,1008,5.4,92,Rainy
29.4,82,1015,13.6,33,Sunny
23.1,47,999,3.7,45,Cloudy
28.3,63,1020,8.7,79,Cloudy
25.2,95,1016,2.3,14,Sunny
36.6,63,1013,3.1,55,Cloudy
30.7,43,1014,10.1,87,Cloudy
34.5,50,1012,16.6,43,Cloudy
21.6,87,999,10.1,26,Sunny
25.4,45,1009,5.8,2,Sunny
26.1,87,1017,8.4,45,Cloudy
28.8,73,1013,6.2,37,Sunny
19.8,88,1018,6.1,35,Sunny
38.9,44,998,14.7,44,Cloudy
37.3,46,1023,17.9,100,Cloudy
22.8,44,1008,17.8,47,Cloudy
26.5,99,999,2.0,41,Cloudy
23.6,65,1012,7.7,33,Sunny
29.4,68,1012,18.0,58,Cloudy
38.5,67,1009,6.0,72,Cloudy
38.9,95,1012,13.1,91,Rainy
15.0,82,1008,16.5,77,Rainy
39.6,62,1003,7.1,18,Sunny
18.9,48,999,8.3,19,Sunny
30.0,59,1010,10.7,8,Sunny
17.8,42,1012,1.7,36,Sunny
25.8,50,1013,1.2,33,Sunny
24.1,73,1005,13.2,27,Sunny
34.2,46,1007,13.4,16,Sunny
30.6,87,1018,8.7,42,Cloudy
37.0,58,1019,14.9,47,Cloudy
33.5,96,1002,2.2,89,Rainy
37.5,89,1023,16.4,3,Sunny
28.8,100,999,4.1,48,Cloudy
23.9,78,1017,7.1,12,Sunny
18.1,92,1009,15.7,24,Sunny
39.2,42,1012,2.1,53,Cloudy
22.5,83,1014,4.0,1,Sunny
35.9,55,1001,5.1,77,Cloudy
34.5,49,1015,11.0,65,Cloudy
33.5,81,1016,9.2,88,Rainy
27.7,85,1012,1.3,31,Sunny
27.4,42,1009,15.1,45,Cloudy
17.4,70,1011,9.5,24,Sunny
19.5,49,1006,13.5,50,Cloudy
15.7,67,1009,3.6,66,Cloudy
29.0,51,997,14.1,29,Sunny
34.4,42,1008,8.9,80,Cloudy
35.2,51,1013,4.9,19,Sunny
17.2,50,1012,4.2,100,Cloudy
21.5,46,1021,10.1,73,Cloudy
39.2,59,1022,2.2,71,Cloudy
25.1,61,1025,1.7,88,Cloudy
27.2,42,1004,12.8,67,Cloudy
35.1,98,1001,17.1,31,Sunny
24.6,70,1015,15.5,89,Cloudy
39.0,56,1015,16.9,67,Cloudy
39.5,63,1009,8.7,11,Sunny
25.9,68,1002,3.4,54,Cloudy
19.9,61,1002,13.1,75,Cloudy
21.2,79,1016,6.7,91,Cloudy
33.2,58,1018,7.8,68,Cloudy
28.6,94,1019,4.6,17,Sunny
36.0,100,1000,1.7,44,Cloudy
36.8,68,1006,16.5,72,Cloudy
15.8,43,1021,8.4,44,Cloudy
37.6,52,996,2.0,79,Cloudy
26.7,67,1001,7.2,43,Cloudy
27.5,75,1018,9.5,85,Cloudy
31.6,95,1017,7.1,23,Sunny
32.7,58,1021,3.2,28,Sunny
36.8,89,1020,1.1,14,Sunny
18.1,50,1006,14.1,86,Cloudy
27.4,73,998,10.1,95,Cloudy
16.4,89,999,16.1,72,Rainy
31.1,76,1015,3.0,35,Sunny
21.4,53,1009,7.1,13,Sunny
18.5,63,1003,15.1,51,Cloudy
16.1,99,1008,15.5,96,Rainy
19.0,98,999,13.7,3,Sunny
36.8,90,997,14.4,81,Rainy
35.2,75,995,3.3,5,Sunny
30.9,71,1016,16.9,91,Cloudy
34.8,64,1020,4.3,24,Sunny
32.3,72,1007,6.7,41,Cloudy
23.9,81,997,4.9,28,Sunny
23.7,99,1014,13.1,33,Sunny
22.8,62,1005,12.5,78,Cloudy
15.7,57,1003,0.8,33,Sunny
37.7,43,1007,9.2,100,Cloudy
16.5,58,1018,13.1,85,Cloudy
23.1,96,995,6.5,13,Sunny
16.3,90,1014,6.7,76,Rainy
23.2,43,1005,14.3,4,Sunny
26.3,67,1011,2.2,27,Sunny
32.2,93,1000,13.7,55,Cloudy
19.2,89,1002,10.9,58,Cloudy
33.5,50,1018,1.6,34,Sunny
18.1,59,1017,3.4,21,Sunny
15.9,81,1023,12.9,17,Sunny
25.5,99,1007,7.7,16,Sunny
20.7,44,996,7.1,88,Cloudy
39.8,45,1010,6.0,27,Sunny
15.4,48,999,14.6,82,Cloudy
27.5,52,1002,3.4,31,Sunny
33.5,98,1023,13.0,67,Cloudy
34.9,75,1015,2.8,36,Sunny
37.9,81,1004,13.1,99,Rainy
31.9,60,1020,8.7,9,Sunny
38.4,52,1022,15.6,75,Cloudy
36.9,79,1014,15.5,2,Sunny
27.1,64,1003,15.5,73,Cloudy
38.9,97,1020,13.5,85,Rainy
32.7,70,995,12.3,88,Cloudy
